frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
82,1.366667,-1.240698,-54.712456,0.027729,182.843674,50.174065,294.422058,176.044037,8.494778,-178.653915,75.931015,7.303679,225.538773,88.470268,4.456613,170.801163,103.384209,45.854443,155.548370,92.347061,-2.904792,-84.877899,11.568830,64.421371,221.432144
83,1.383333,-1.369321,-54.641060,-0.052379,182.852692,50.184834,294.416565,176.201462,8.722807,-178.777847,75.887527,7.387877,225.594971,88.389923,4.528758,170.753311,103.372505,45.847450,155.536621,-87.510330,2.316590,-93.961800,11.287185,64.441818,221.375092
84,1.400000,-1.272618,-54.745167,0.005074,182.841736,50.172550,294.428223,176.401978,8.953517,-178.927246,75.834160,7.481897,225.655075,88.114090,-5.789978,-9.177585,103.469704,45.855461,155.432022,92.343071,-2.927803,-84.848297,11.574563,64.420631,221.432358
85,1.416667,-1.351394,-54.630161,-0.043791,182.854568,50.185394,294.415588,177.095062,9.587959,-179.490097,75.778679,7.593632,225.722473,88.417915,4.497323,170.822754,103.377747,45.846172,155.540146,-87.511284,2.326637,-93.959351,11.286819,64.441139,221.375565
86,1.433333,-1.223483,-54.712036,0.044873,182.843201,50.173950,294.420532,179.699966,11.616011,175.542084,75.702721,7.675278,225.803894,88.116760,-5.794568,-9.192675,103.470840,45.858402,155.434280,92.347374,-2.904686,-84.876991,11.568494,64.420937,221.431213
87,1.450000,-1.278116,-54.739288,-0.004359,182.842499,50.172955,294.428619,179.699982,11.616104,175.542023,75.626480,7.779956,225.871948,88.126740,-5.795349,-9.182659,103.469383,45.853142,155.429764,-87.518242,2.294908,-93.983810,11.288543,64.440956,221.376221
88,1.466667,-1.442493,-54.668652,-0.133570,182.853958,50.183743,294.423523,179.700027,11.616323,175.541977,75.527855,7.844269,225.939133,88.433769,4.494582,170.835983,103.379738,45.849064,155.543900,92.343788,-2.886158,-84.906029,11.564725,64.420265,221.431427
89,1.483333,-1.288147,-54.745594,-0.013634,182.843262,50.172211,294.428497,179.693787,11.854749,175.471420,75.427750,7.905412,226.001648,88.439316,4.481874,170.799072,103.380348,45.847675,155.543243,-87.515656,2.300227,-93.977097,11.288711,64.441422,221.376251
90,1.500000,-1.278104,-54.747425,-0.000894,182.841995,50.172337,294.429382,179.364975,12.582829,175.359634,75.329857,7.958758,226.044205,88.441254,-6.028831,-8.894422,103.422058,45.876701,155.381500,92.344582,-2.926916,-84.847046,11.574183,64.421204,221.431900
91,1.516667,-1.388475,-54.641762,-0.073600,182.853943,50.184155,294.417572,179.365051,12.582766,175.359573,75.205139,7.973634,226.092224,88.441689,4.478369,170.810516,103.380409,45.849651,155.542831,-87.525177,2.260657,-93.985374,11.289029,64.438011,221.377869
92,1.533333,-1.305955,-54.753773,-0.020443,182.841537,50.174747,294.429688,177.092163,14.181549,175.713562,75.071922,7.972145,226.137466,88.380524,4.528278,170.736115,103.369583,45.844414,155.532181,92.345047,-2.923572,-84.845520,11.574461,64.420502,221.432663
93,1.550000,-1.220730,-54.714134,0.056036,182.842010,50.174694,294.422577,175.140320,15.162026,176.404999,74.922195,7.979608,226.177002,88.433609,-6.000402,-8.857971,103.422440,45.874851,155.380478,-87.518913,2.284751,-93.972702,11.290770,64.441925,221.375900
